keyword,date,hits
bankrupt,2005-08-15,43.103448275862064
bankrupt,2005-08-16,44.64285714285714
bankrupt,2005-08-17,0
bankrupt,2005-08-18,0
bankrupt,2005-08-19,36.764705882352935
bankrupt,2005-08-20,0
bankrupt,2005-08-21,0
bankrupt,2005-08-22,54.34782608695651
bankrupt,2005-08-23,52.08333333333333
bankrupt,2005-08-24,0
bankrupt,2005-08-25,0
bankrupt,2005-08-26,26.595744680851062
bankrupt,2005-08-27,0
bankrupt,2005-08-28,0
bankrupt,2005-08-29,0
bankrupt,2005-08-30,27.173913043478255
bankrupt,2005-08-31,34.72222222222222
bankrupt,2005-09-01,48.07692307692308
bankrupt,2005-09-02,50
bankrupt,2005-09-03,0
bankrupt,2005-09-04,48.07692307692308
bankrupt,2005-09-05,0
bankrupt,2005-09-06,52.08333333333333
bankrupt,2005-09-07,48.07692307692308
bankrupt,2005-09-08,46.29629629629629
bankrupt,2005-09-09,44.64285714285714
bankrupt,2005-09-10,0
bankrupt,2005-09-11,0
bankrupt,2005-09-12,44.64285714285714
bankrupt,2005-09-13,41.66666666666667
bankrupt,2005-09-14,32.89473684210526
bankrupt,2005-09-15,31.25
bankrupt,2005-09-16,32.89473684210526
bankrupt,2005-09-17,33.78378378378378
bankrupt,2005-09-18,43.103448275862064
bankrupt,2005-09-19,25
bankrupt,2005-09-20,20.833333333333336
bankrupt,2005-09-21,17.857142857142858
bankrupt,2005-09-22,13.88888888888889
bankrupt,2005-09-23,15.625
bankrupt,2005-09-24,0
bankrupt,2005-09-25,0
bankrupt,2005-09-26,30.48780487804878
bankrupt,2005-09-27,41.66666666666667
bankrupt,2005-09-28,36.764705882352935
bankrupt,2005-09-29,30.48780487804878
bankrupt,2005-09-30,40.32258064516129
bankrupt,2005-10-01,0
bankrupt,2005-10-02,0
bankrupt,2005-10-03,39.0625
bankrupt,2005-10-04,30.48780487804878
bankrupt,2005-10-05,27.173913043478255
bankrupt,2005-10-06,24.509803921568626
